Employee_ID,Age,Industry,Job_Role,Experience_Years,Company_Size,Remote_Work_Type,AI_Tools_Used,Daily_AI_Usage_Hours,Primary_AI_Tool,Tasks_Automated_Percent,Time_Saved_Per_Day_Minutes,Learning_Time_Per_Week_Hours,Meetings_Per_Day,Work_Hours_Per_Day,Job_Satisfaction,Productivity_Change,Salary_USD,Promotion_Last_Year,Fear_of_AI_Replacing_Job,Target
27,24,Marketing,Manager,0,MNC,Onsite,0,2.7,Claude,58,114,3.8,5,5.5,Low,Decreased,39373,No,Medium,Low
28,29,Healthcare,Software Developer,2,MNC,Remote,2,4.0,Copilot,29,96,3.5,7,9.2,High,Same,42996,No,Low,Low
29,40,Healthcare,HR,3,MNC,Remote,2,3.8,Grok,16,171,5.6,4,5.7,Low,Same,47757,No,Medium,Low
30,45,Finance,Data Analyst,16,MNC,Remote,4,2.9,ChatGPT,59,115,1.8,4,5.1,Medium,Same,86568,Yes,Medium,Low
31,24,Tech,Manager,1,Medium,Onsite,0,2.0,Gemini,53,57,5.6,5,4.6,High,Increased,34455,No,Medium,Low
32,43,Finance,Software Developer,1,Small,Hybrid,2,1.5,ChatGPT,16,103,4.2,2,8.3,Low,Same,40206,No,Medium,Low
33,50,Finance,HR,9,MNC,Hybrid,1,4.1,Claude,24,151,5.5,1,4.0,High,Decreased,58323,No,Medium,Low
34,41,Marketing,Designer,0,Large,Remote,3,4.4,Midjourney,14,91,3.5,7,7.5,High,Same,34853,No,Low,Low
35,46,Healthcare,Software Engineer,21,MNC,Onsite,1,4.3,Gemini,48,179,0.2,6,6.2,Low,Decreased,72491,No,Low,Low
36,54,Finance,Data Scientist,7,Small,Hybrid,4,1.4,Gemini,4,102,0.5,4,5.2,Low,Same,55142,No,Low,Low
37,37,Marketing,Consultant,12,Medium,Hybrid,1,2.6,Claude,29,146,4.8,6,6.6,Medium,Increased,57177,No,High,Low
38,47,Tech,Consultant,4,MNC,Remote,1,4.8,Grok,22,126,4.2,4,4.3,Medium,Increased,52896,No,Low,Low
39,53,Education,Data Scientist,29,MNC,Hybrid,0,3.3,Gemini,0,15,3.1,7,7.3,High,Decreased,98125,No,Low,Low
40,50,Tech,Designer,22,Small,Onsite,2,1.2,Midjourney,15,178,4.5,0,6.1,High,Increased,84435,No,High,Low
41,26,Retail,Software Engineer,0,Small,Onsite,3,0.9,Grok,15,175,4.8,3,5.0,Low,Increased,38452,No,Medium,Low
42,44,Tech,Consultant,9,Large,Remote,4,4.4,Grok,51,137,3.8,1,7.0,Low,Decreased,64207,Yes,High,High
43,26,Finance,Consultant,4,Large,Hybrid,3,3.1,Claude,79,1,0.2,7,7.8,Low,Decreased,42851,Yes,High,Low
44,45,Marketing,Manager,11,Large,Onsite,1,2.9,Copilot,32,160,4.9,2,9.6,High,Increased,58002,No,Medium,Low
45,22,Education,Software Engineer,0,MNC,Hybrid,0,3.3,Copilot,42,43,1.6,3,4.6,High,Same,37161,No,Medium,Low
46,44,Healthcare,Manager,16,MNC,Remote,1,1.6,Claude,25,89,2.0,2,5.7,Low,Increased,63267,No,Low,Low
47,32,Education,Consultant,7,MNC,Hybrid,3,2.1,Gemini,35,137,2.5,7,8.8,Low,Decreased,64048,Yes,Medium,Low
48,39,Healthcare,Data Analyst,16,Large,Onsite,4,1.2,Grok,54,12,4.4,2,4.6,Medium,Same,82584,Yes,Medium,Low
49,41,Finance,Data Analyst,15,MNC,Remote,0,1.6,Gemini,58,18,2.3,3,9.8,Low,Same,59171,No,Medium,Low
50,30,Marketing,Software Developer,6,Large,Onsite,3,4.8,Grok,51,82,3.0,7,6.7,Medium,Same,50491,Yes,Low,Low
51,46,Finance,Designer,19,Large,Remote,2,1.1,Midjourney,52,150,4.7,6,4.5,Medium,Increased,80174,Yes,Low,Low
52,35,Education,HR,9,Large,Remote,4,3.7,Claude,74,145,5.8,0,8.6,Medium,Increased,57539,Yes,Medium,High
53,38,Healthcare,HR,5,Medium,Onsite,4,1.1,Claude,8,177,5.4,1,4.5,Medium,Decreased,60807,No,Low,Low
54,22,Healthcare,Data Analyst,0,Large,Remote,3,1.2,Midjourney,70,44,4.5,5,8.2,High,Same,35810,Yes,Medium,Low
55,48,Healthcare,Software Engineer,9,Large,Remote,1,1.7,Copilot,66,172,0.1,3,7.4,High,Decreased,59116,No,High,Low
56,22,Tech,Software Engineer,0,Large,Hybrid,2,2.9,Claude,61,112,0.5,0,5.3,High,Decreased,47517,Yes,High,Low
57,53,Retail,Data Analyst,12,Large,Onsite,4,1.6,Midjourney,79,117,5.5,3,4.4,High,Decreased,74843,Yes,Medium,Low
58,39,Tech,Data Scientist,14,Small,Onsite,0,1.1,Gemini,14,158,6.0,5,7.5,Low,Decreased,72087,No,Medium,Low
59,44,Finance,Designer,10,Small,Onsite,3,4.8,Grok,15,101,2.7,3,6.0,Medium,Increased,63337,No,Low,Low
60,49,Finance,Manager,3,MNC,Remote,1,1.9,Claude,59,177,1.6,4,9.8,High,Increased,40042,No,Medium,Low
61,38,Marketing,Data Scientist,8,Large,Remote,0,2.1,Gemini,76,156,0.8,2,8.9,Medium,Increased,46713,No,Medium,Low
62,26,Finance,HR,0,Small,Remote,1,0.4,Copilot,29,108,1.0,7,6.3,Low,Same,30193,No,High,Low
63,53,Education,Data Analyst,14,MNC,Hybrid,0,1.9,Grok,25,62,2.4,2,9.1,High,Increased,66772,No,High,Low
64,54,Finance,Data Scientist,0,MNC,Hybrid,4,0.3,Copilot,5,94,4.5,2,7.3,Low,Decreased,40636,No,Low,Low
65,31,Retail,Data Scientist,9,Small,Remote,2,1.2,ChatGPT,77,109,1.5,4,7.6,Medium,Same,53544,Yes,Low,Low
66,53,Healthcare,Software Developer,1,Medium,Hybrid,3,1.3,ChatGPT,38,153,3.0,5,8.6,Medium,Increased,40363,Yes,Low,Low
67,22,Education,Software Engineer,0,Large,Remote,3,2.8,Claude,56,144,0.8,6,6.5,Low,Same,35252,Yes,High,Low
68,42,Finance,Data Analyst,13,MNC,Remote,1,4.0,Claude,37,37,3.6,1,6.4,High,Same,64209,No,High,Low
69,54,Marketing,HR,23,Large,Onsite,3,1.5,Copilot,50,80,5.7,3,6.8,Low,Decreased,99856,Yes,High,Low
70,31,Finance,HR,0,Large,Hybrid,3,0.3,Copilot,68,33,3.7,1,6.0,Medium,Same,37818,Yes,High,Low
71,32,Marketing,Consultant,2,MNC,Hybrid,0,2.3,Copilot,79,94,2.4,7,7.8,Medium,Same,41647,No,Low,Low
72,25,Finance,Software Developer,3,MNC,Remote,0,4.5,Midjourney,66,154,4.0,1,7.6,Low,Decreased,42314,No,High,High
73,40,Marketing,Data Scientist,4,MNC,Onsite,1,1.4,Grok,60,21,0.5,0,7.2,Medium,Increased,52907,No,Low,Low
74,47,Finance,Data Analyst,13,Medium,Remote,1,0.6,Claude,44,154,0.2,0,6.9,Low,Decreased,64453,No,Low,Low
75,51,Finance,Manager,10,Medium,Hybrid,4,0.0,Copilot,35,0,0.5,2,5.1,High,Same,57302,Yes,High,Low
76,43,Healthcare,Software Engineer,13,MNC,Onsite,1,3.8,Claude,77,129,4.5,5,4.9,Medium,Same,59126,No,Medium,High
77,24,Education,Data Scientist,2,Small,Hybrid,2,2.7,Copilot,17,37,3.2,6,4.6,Medium,Decreased,40750,No,High,Low
78,49,Healthcare,Data Analyst,9,Small,Hybrid,0,4.2,ChatGPT,43,24,5.3,3,6.8,High,Increased,50561,No,Medium,Low
79,24,Tech,Manager,0,Medium,Remote,4,2.4,Grok,33,110,4.5,0,7.4,High,Increased,52913,Yes,Low,Low
80,27,Finance,Software Developer,3,Medium,Remote,1,3.0,ChatGPT,58,58,5.9,4,9.6,Low,Decreased,51844,No,Low,Low
81,43,Finance,Designer,20,Large,Onsite,3,4.3,Grok,61,61,4.8,7,9.4,Medium,Decreased,87046,Yes,Low,Low
82,24,Tech,Consultant,2,Large,Hybrid,4,4.9,Midjourney,5,65,3.5,2,9.2,Low,Increased,49837,No,Low,Low
83,51,Tech,HR,23,MNC,Onsite,2,4.1,Gemini,65,78,3.2,1,5.7,Medium,Decreased,83469,Yes,Medium,Low
84,47,Finance,Data Analyst,21,MNC,Remote,3,2.1,Copilot,19,112,3.2,0,7.7,Medium,Decreased,88607,No,Low,Low
85,32,Finance,Data Scientist,3,Small,Remote,4,2.7,Midjourney,32,133,2.0,1,7.3,Low,Decreased,52865,Yes,High,Low
86,23,Tech,Manager,0,MNC,Hybrid,1,0.4,ChatGPT,62,100,0.0,0,7.6,Low,Decreased,42231,No,High,Low
87,51,Education,Data Scientist,16,Large,Onsite,4,4.2,Copilot,49,77,5.6,2,9.6,High,Same,88019,Yes,Low,Low
88,22,Finance,Manager,0,Medium,Hybrid,3,4.2,Grok,71,10,4.8,5,8.8,Low,Decreased,49524,Yes,Low,Low
89,26,Tech,Designer,2,Small,Hybrid,2,3.2,Gemini,61,131,1.9,1,6.4,Medium,Decreased,45535,Yes,Medium,High
90,29,Finance,HR,6,Small,Onsite,2,3.1,Gemini,22,62,3.0,0,6.1,Medium,Same,54246,No,High,Low
91,23,Tech,Manager,1,Medium,Onsite,4,4.5,Claude,50,38,0.7,5,6.0,Low,Decreased,56586,Yes,Medium,Low
92,29,Marketing,Manager,1,MNC,Onsite,3,4.0,Claude,28,32,3.2,6,7.4,High,Decreased,54588,No,Medium,Low
93,54,Education,Data Analyst,26,Medium,Hybrid,0,0.2,Copilot,65,9,3.0,1,6.1,Low,Same,83371,No,High,Low
94,45,Finance,Data Scientist,19,Large,Hybrid,4,2.7,Midjourney,28,46,2.5,4,8.3,Low,Decreased,91478,No,High,Low
95,47,Tech,Consultant,10,Large,Onsite,2,1.7,Grok,10,73,2.1,5,6.4,High,Same,51814,No,Medium,Low
96,47,Education,Software Developer,13,Small,Onsite,2,0.8,Grok,12,103,3.0,0,5.5,Low,Increased,57827,No,Medium,Low
97,33,Healthcare,Designer,11,MNC,Remote,3,4.6,Claude,4,119,0.1,6,4.9,Medium,Increased,64795,No,High,Low
98,52,Finance,Consultant,25,MNC,Hybrid,0,2.1,Gemini,28,39,5.0,2,6.7,Low,Increased,86053,No,High,Low
99,42,Marketing,Consultant,13,Small,Remote,3,0.6,ChatGPT,56,0,5.2,6,5.4,Low,Increased,62708,Yes,Low,Low
100,30,Retail,Software Engineer,4,MNC,Remote,0,1.0,Midjourney,56,116,3.6,2,6.4,Low,Increased,49920,No,High,Low
101,47,Tech,HR,10,MNC,Onsite,1,2.3,Claude,33,90,2.7,2,4.2,Medium,Decreased,61490,No,Medium,Low
102,45,Retail,Data Analyst,6,Small,Remote,3,2.1,Midjourney,32,176,4.7,2,7.8,Low,Increased,56395,Yes,High,Low
103,42,Marketing,Consultant,16,Small,Hybrid,0,4.8,Grok,48,147,2.5,3,7.2,Low,Increased,66984,No,Medium,Low
104,53,Education,Manager,12,Small,Onsite,2,1.0,Midjourney,61,31,2.8,0,4.2,Medium,Decreased,62311,Yes,Medium,Low
105,40,Tech,Consultant,17,Large,Remote,0,3.9,Midjourney,46,112,2.4,5,8.6,Medium,Same,78719,No,Medium,Low
106,50,Tech,Software Engineer,22,Small,Onsite,2,1.9,Midjourney,73,109,3.2,0,4.2,High,Increased,82643,Yes,High,Low
107,53,Healthcare,Data Analyst,17,Medium,Remote,4,2.0,Midjourney,56,66,1.4,2,7.0,Low,Increased,79519,Yes,Medium,Low
108,24,Tech,Data Analyst,2,Large,Onsite,0,2.8,Copilot,7,161,4.8,7,8.3,Medium,Decreased,44149,No,Low,Low
109,37,Tech,Manager,3,Small,Remote,3,3.3,Gemini,13,54,5.4,6,7.8,Medium,Same,56032,No,Low,Low
110,44,Healthcare,Consultant,20,Medium,Onsite,2,0.6,Grok,18,35,3.9,1,9.4,Medium,Increased,90978,No,High,Low
111,23,Education,Consultant,0,MNC,Remote,3,4.2,Midjourney,36,165,4.6,0,6.6,Low,Decreased,41083,Yes,Medium,Low
112,43,Marketing,Consultant,11,Small,Onsite,0,4.3,ChatGPT,58,127,1.1,1,4.1,High,Decreased,49573,No,High,High
113,30,Healthcare,Data Analyst,7,Large,Hybrid,1,3.2,Midjourney,72,21,5.0,3,4.8,Low,Increased,53372,No,Medium,Low
114,44,Tech,Data Analyst,4,Large,Hybrid,2,4.1,Grok,41,99,3.0,1,7.3,High,Increased,51875,Yes,High,Low
115,44,Finance,Data Scientist,20,Large,Hybrid,1,0.7,Gemini,26,56,1.6,2,7.6,High,Same,82060,No,Low,Low
116,28,Tech,Data Analyst,1,MNC,Onsite,4,4.2,Grok,61,121,2.5,1,5.0,Medium,Decreased,56770,Yes,Low,High
117,22,Retail,HR,0,Small,Remote,2,0.5,Claude,25,28,2.3,7,6.6,High,Increased,37819,No,Medium,Low
118,45,Retail,Consultant,21,Large,Remote,4,2.4,ChatGPT,35,147,1.0,3,4.3,High,Decreased,91652,Yes,Low,Low
119,30,Education,Data Analyst,1,Small,Onsite,4,1.7,Gemini,39,16,2.5,4,8.1,Medium,Decreased,51312,Yes,Low,Low
120,24,Education,Designer,1,MNC,Remote,4,0.0,ChatGPT,50,101,3.5,2,5.9,High,Increased,55314,Yes,Low,Low
121,38,Marketing,Software Developer,9,Small,Remote,0,2.2,Midjourney,46,11,3.3,7,8.6,Medium,Increased,55254,No,High,Low
122,42,Education,HR,16,Small,Onsite,4,3.5,ChatGPT,69,24,5.4,3,5.3,Low,Decreased,82849,Yes,Medium,Low
123,53,Tech,Manager,9,MNC,Hybrid,0,0.9,Midjourney,6,13,0.7,6,5.8,Low,Same,58023,No,Medium,Low
124,29,Marketing,Manager,1,Large,Onsite,2,4.7,Gemini,38,145,3.1,6,4.2,High,Same,42374,Yes,High,Low
125,45,Tech,Consultant,2,Small,Remote,3,0.6,Gemini,2,36,3.2,1,8.3,High,Decreased,50651,No,High,Low
126,36,Healthcare,Software Engineer,7,MNC,Hybrid,0,2.7,Claude,24,140,3.8,7,6.6,Low,Decreased,48323,No,Low,Low
127,23,Marketing,Data Analyst,0,Medium,Onsite,2,4.4,Grok,29,12,3.2,7,9.6,Medium,Decreased,38206,No,Medium,Low
128,50,Tech,Data Scientist,16,Medium,Hybrid,4,0.2,Copilot,56,15,5.2,6,6.4,High,Decreased,76069,Yes,Low,Low
129,46,Marketing,Data Analyst,6,Small,Onsite,3,3.7,ChatGPT,48,2,2.8,7,5.7,Low,Decreased,46145,Yes,Medium,Low
130,46,Retail,Software Engineer,15,Small,Hybrid,0,4.6,Gemini,78,72,0.7,0,8.1,Low,Same,65426,No,Medium,Low
131,27,Education,HR,5,Large,Onsite,2,4.5,Gemini,24,51,0.4,7,9.7,Medium,Increased,56934,No,Medium,Low
132,31,Retail,Software Developer,1,MNC,Hybrid,0,1.1,Midjourney,2,119,2.1,4,7.8,Low,Decreased,27726,No,High,Low
133,30,Tech,HR,2,Small,Hybrid,3,5.0,Claude,60,122,2.4,1,6.9,Low,Decreased,52551,Yes,Low,High
134,24,Finance,Consultant,2,Large,Remote,4,1.1,Claude,72,67,3.5,1,6.7,High,Increased,54239,Yes,Medium,Low
135,24,Finance,HR,2,MNC,Hybrid,3,2.4,Grok,66,152,5.1,1,8.9,Low,Increased,47752,Yes,High,Low
136,26,Healthcare,Designer,2,Large,Hybrid,2,1.4,Grok,78,37,1.6,4,4.3,Low,Same,44105,Yes,High,Low
137,27,Education,Manager,4,Large,Remote,3,0.5,Midjourney,27,80,0.4,4,6.9,High,Increased,44396,No,Low,Low
138,24,Retail,HR,1,Medium,Onsite,2,4.3,Midjourney,32,5,3.1,7,8.0,High,Increased,47688,Yes,Medium,Low
139,34,Tech,HR,10,MNC,Remote,4,3.5,Gemini,41,99,3.7,5,5.1,Medium,Decreased,73106,Yes,Low,Low
140,52,Finance,Designer,22,Large,Remote,1,0.6,Gemini,52,157,5.5,1,8.9,High,Increased,88077,No,Low,Low
141,34,Marketing,Designer,12,Medium,Hybrid,3,0.0,Copilot,12,45,2.0,0,7.8,Low,Decreased,65009,No,High,Low
142,45,Education,Software Developer,12,MNC,Onsite,2,0.6,ChatGPT,29,73,2.6,1,6.1,High,Increased,55571,No,Low,Low
143,36,Retail,Manager,13,Medium,Hybrid,4,0.5,Copilot,67,147,4.1,1,9.7,Low,Same,77527,Yes,Medium,Low
144,38,Marketing,Manager,11,Large,Hybrid,0,2.9,Grok,64,21,3.7,2,9.1,Low,Decreased,51799,No,Low,Low
145,50,Healthcare,Software Developer,11,Small,Onsite,3,3.2,Copilot,51,124,2.3,4,4.1,Low,Increased,63813,Yes,High,High
146,36,Education,Manager,2,Small,Hybrid,2,3.4,Midjourney,25,173,2.8,3,6.6,Low,Same,41540,No,Medium,Low
147,36,Tech,Software Engineer,6,MNC,Remote,4,3.5,ChatGPT,31,129,4.6,3,7.9,Medium,Decreased,68280,Yes,Low,Low
148,49,Finance,Software Engineer,20,MNC,Remote,4,3.2,Gemini,5,146,1.6,2,5.9,Low,Decreased,89857,No,High,Low
149,36,Tech,Data Analyst,1,Medium,Hybrid,4,1.0,Midjourney,24,23,2.2,6,6.8,Low,Increased,58994,No,Low,Low
150,29,Marketing,Consultant,3,Large,Remote,0,4.3,Gemini,52,7,4.6,5,7.2,Medium,Same,37342,No,Low,Low
151,24,Tech,Consultant,0,Large,Onsite,3,0.2,Midjourney,59,121,3.7,5,6.8,Medium,Decreased,49069,Yes,Medium,Low
152,35,Finance,Data Analyst,6,Small,Onsite,0,3.0,Claude,8,165,1.4,3,4.4,Medium,Same,42109,No,Medium,Low
153,23,Marketing,Consultant,1,Large,Onsite,2,4.9,Midjourney,71,20,0.4,7,6.4,Low,Decreased,41357,Yes,Medium,Low
154,53,Retail,Manager,10,Large,Remote,4,3.8,Gemini,40,135,4.3,2,4.6,High,Increased,67640,Yes,Low,Low
155,33,Healthcare,Manager,8,Medium,Hybrid,3,3.5,Gemini,73,167,0.1,3,4.4,High,Same,56368,Yes,Low,High
156,54,Marketing,Software Engineer,12,Medium,Hybrid,0,4.1,Grok,25,149,1.9,5,7.4,High,Decreased,67093,No,Low,Low
157,36,Healthcare,HR,1,Small,Remote,1,0.8,Gemini,48,103,3.8,2,9.4,Low,Same,48440,No,Low,Low
158,27,Healthcare,Data Analyst,0,Large,Onsite,0,3.5,Claude,7,71,4.3,5,8.7,Low,Decreased,27430,No,Low,Low
159,28,Retail,Designer,2,MNC,Hybrid,3,2.8,Grok,5,57,4.7,6,7.9,Medium,Increased,42109,No,Low,Low
160,32,Healthcare,Designer,1,Medium,Remote,3,1.2,Claude,12,24,5.2,1,6.0,High,Decreased,55811,No,Medium,Low
161,29,Finance,Manager,4,MNC,Hybrid,4,3.3,Grok,50,43,3.3,1,7.9,Medium,Decreased,49644,Yes,Medium,Low
162,53,Retail,Software Developer,23,Medium,Remote,0,2.5,Gemini,27,34,1.3,5,4.2,Low,Decreased,71352,No,High,Low
163,28,Education,Manager,3,Large,Remote,0,4.3,Midjourney,30,23,2.6,3,8.4,Low,Increased,34453,No,High,Low
164,41,Education,Consultant,17,MNC,Onsite,0,2.6,Grok,35,116,2.4,3,9.2,Low,Same,70171,No,Low,Low
165,27,Marketing,Consultant,1,Small,Remote,2,3.0,Claude,11,130,3.7,7,9.0,Low,Increased,52975,No,High,Low
166,51,Healthcare,Designer,22,Large,Onsite,1,1.2,ChatGPT,77,1,1.1,4,4.4,High,Same,76648,No,Medium,Low
167,35,Retail,Software Developer,7,Medium,Hybrid,0,3.3,Claude,69,144,2.3,0,6.4,High,Decreased,49238,No,Low,High
168,22,Tech,Designer,0,Small,Remote,3,0.7,Gemini,44,150,2.7,2,9.3,Medium,Decreased,34629,Yes,Medium,Low
169,35,Retail,Designer,9,Small,Remote,4,1.7,Midjourney,0,132,1.5,2,9.7,Medium,Same,65552,No,Low,Low
170,41,Marketing,Manager,10,Small,Remote,4,1.8,Claude,75,164,4.7,7,8.8,Medium,Increased,75587,Yes,Low,Low
171,36,Marketing,Software Developer,5,Medium,Remote,3,2.7,Claude,19,113,5.9,0,7.2,Medium,Increased,44281,No,Low,Low
172,50,Retail,Consultant,0,Small,Onsite,2,2.3,ChatGPT,58,68,0.6,2,4.2,Medium,Same,39467,Yes,Low,Low
173,45,Finance,Data Scientist,10,Large,Remote,1,1.6,Gemini,28,38,2.7,6,7.1,Low,Decreased,57110,No,Low,Low
174,41,Tech,HR,12,Large,Remote,3,3.5,ChatGPT,7,84,0.6,7,4.9,High,Same,71669,No,Low,Low
175,26,Tech,Designer,1,MNC,Hybrid,0,4.2,Midjourney,42,157,3.0,0,9.0,Medium,Same,27302,No,Low,Low
176,33,Tech,Consultant,10,Medium,Onsite,0,3.4,Midjourney,32,0,1.3,7,9.0,Medium,Increased,54519,No,Low,Low
177,26,Healthcare,Software Developer,0,Medium,Remote,1,1.7,Copilot,65,62,5.9,0,10.0,High,Decreased,34924,No,High,Low
178,30,Finance,HR,4,Small,Remote,4,1.4,Midjourney,74,67,3.9,5,6.0,Low,Decreased,49114,Yes,Low,Low
179,27,Healthcare,Consultant,1,Medium,Onsite,1,4.4,Claude,22,82,5.2,0,4.7,High,Same,39013,No,Low,Low
180,28,Retail,Data Analyst,0,Large,Remote,4,1.6,Copilot,75,142,4.2,3,7.3,High,Increased,54824,Yes,Medium,Low
181,53,Retail,Manager,16,Large,Onsite,2,1.1,Copilot,10,98,1.0,5,7.7,Medium,Decreased,65989,No,High,Low
182,30,Marketing,Software Engineer,2,Large,Hybrid,4,4.3,Gemini,47,155,0.2,1,4.7,Medium,Decreased,57353,Yes,High,Low
183,36,Marketing,Data Analyst,11,Small,Remote,3,3.0,Midjourney,47,86,4.9,1,8.3,Medium,Same,62570,Yes,High,Low
184,42,Tech,Data Scientist,10,Large,Remote,4,4.5,ChatGPT,24,35,5.6,6,5.2,Medium,Increased,73524,No,Medium,Low
185,43,Retail,Software Engineer,18,MNC,Hybrid,1,0.8,Copilot,67,116,1.7,2,9.6,High,Decreased,77467,No,Low,Low
186,29,Retail,Data Analyst,7,Medium,Onsite,1,3.1,ChatGPT,17,1,1.6,3,8.9,Low,Same,61914,No,High,Low
187,28,Education,Manager,6,Large,Onsite,3,0.9,Gemini,12,158,4.3,7,8.8,High,Increased,54636,No,High,Low
188,41,Retail,Data Analyst,3,Medium,Onsite,0,1.9,Grok,44,105,0.7,4,7.6,Medium,Increased,32300,No,Medium,Low
189,43,Education,HR,8,Large,Remote,1,1.1,Claude,9,121,2.2,1,9.4,High,Decreased,61456,No,Medium,Low
190,47,Marketing,Consultant,4,Medium,Onsite,3,1.4,Gemini,18,99,2.5,1,8.9,Low,Same,47010,No,High,Low
191,31,Healthcare,Data Analyst,0,Large,Hybrid,1,0.8,Grok,48,107,5.2,6,7.2,Medium,Same,36853,No,Low,Low
192,36,Retail,Manager,2,Small,Onsite,3,1.0,Copilot,10,137,1.5,4,7.6,High,Same,45421,No,Low,Low
193,46,Tech,Designer,1,Large,Onsite,2,3.0,Claude,17,66,2.7,4,8.3,Medium,Same,44543,No,Medium,Low
194,40,Healthcare,Designer,3,Large,Onsite,1,1.7,Claude,31,166,4.6,3,4.5,Medium,Increased,46640,No,High,Low
195,24,Tech,Software Engineer,0,Small,Onsite,0,1.1,Midjourney,40,12,3.1,1,8.0,Medium,Decreased,27475,No,High,Low
196,48,Finance,Software Engineer,20,Medium,Remote,1,3.4,Claude,43,124,2.7,5,8.0,High,Same,87201,No,Low,Low
197,38,Retail,HR,2,Large,Onsite,1,2.2,Claude,7,149,3.4,3,9.8,Low,Increased,47836,No,Low,Low
198,52,Retail,HR,14,Medium,Onsite,0,0.9,Claude,61,157,2.7,7,4.0,Low,Increased,66711,No,High,Low
199,33,Marketing,Data Analyst,7,Medium,Hybrid,3,2.4,ChatGPT,29,22,2.4,7,4.1,Medium,Same,56555,No,Low,Low
200,22,Education,Manager,0,Medium,Onsite,0,3.4,ChatGPT,69,149,0.5,6,9.2,Medium,Same,42396,No,Medium,High
